id,z_phot,z_phot16,z_phot84,lbol,r_eff_50_phys,z_dist_proxy,log_Sigma,log_Reff,log_lbol,z_asym_norm,density_group,size_group
54661,5.667634,5.655972,8.047465,45.842531661535126,121.9266954000634,2.3914930000000005,-3.008078885494006,2.0860988032037144,1.6612685936075562,-0.9902470966881364,Q1 (lowest Σ),Q4 (largest)
55423,5.408047,5.0477443,5.4920244,45.28190599566655,88.75092882326122,0.4442801000000003,-2.7375709876285352,1.9481729068618494,1.6559246987892975,0.6219619109656267,Q3 (high Σ),Q2 (small)
344,7.1353946,7.104387,8.371936,45.86760931211554,95.11385632924762,1.2675489999999998,-2.7921313484811425,1.9782437902179042,1.6615061046487998,-0.951074711904629,Q2 (low Σ),Q3 (large)
2480,4.684057,4.4026318,5.792029,44.04413933140996,168.19655201304698,1.3893972000000003,-3.304895922109102,2.225817088625652,1.643888127836335,-0.5948959735920007,Q1 (lowest Σ),Q4 (largest)
4620,5.7462945,4.8081326,5.8085933,45.30451539533148,81.08071303865651,1.0004606999999996,-2.6588435020126413,1.908917559303066,1.6561414892876247,0.875459775681344,Q3 (high Σ),Q2 (small)
7830,5.5453625,4.522011,5.721972,44.574569776414066,130.2652787861676,1.199961,-3.077720059066305,2.1148286732642285,1.6490871601562864,0.7056412666745009,Q1 (lowest Σ),Q4 (largest)
9104,6.0930605,5.7204733,6.298701,44.66242354706938,106.35932378958098,0.5782277000000002,-2.900758721935258,2.026775567514483,1.6499422857878416,0.2887213808677784,Q2 (low Σ),Q3 (large)
9791,5.0277753,5.0122695,5.381057,44.52712784949339,111.88804446545645,0.3687874999999998,-2.9460925571025482,2.0487836834892796,1.6486246825701452,-0.9159092973595923,Q2 (low Σ),Q3 (large)
11501,4.6799717,4.5810666,4.8929634,45.56318157708323,86.79155573125136,0.3118968000000004,-2.7154907766547436,1.93847747312905,1.6586140422974904,-0.3657831693047162,Q3 (high Σ),Q2 (small)
14258,5.4718714,5.443565,5.4969354,44.815712616158166,164.2733944448308,0.053370399999999485,-3.276854028607201,2.215567231229116,1.6514303065451643,0.06075277682011853,Q1 (lowest Σ),Q4 (largest)
17986,4.940114,4.906421,5.428306,45.359298301960415,70.42326572571035,0.5218850000000002,-2.5359158665197574,1.847716160662736,1.6566663274998479,-0.8708795999118564,Q4 (highest Σ),Q1 (smallest)
