id,field,z_phot,M_msun,R_pc,Sigma,logSigma,f444w_flux,f150w_flux,color_mag,color_excess,z_N,emit_enhance,sersic_enhance,z_sersic,geom_factor,geff_factor,z_final,dmag_N,dmag_emit,dmag_sersic,dmag_geo,dmag_final
31581,primer-uds-north,4.1634083,1023292992.2807536,84.0964646424577,46056.89435038442,4.663294649825262,0.0616407445199213,0.007038912905112,-2.3559057102182086,-0.3292567677293383,5.824663183730557e-07,1.455,3.671056845830528,2.13826696552911e-06,1.3,1.154578497863777,3.2094361794200375e-06,1.2648095398196036e-06,1.8402978804375233e-06,4.643187719826515e-06,6.0361440357744705e-06,6.969202113713885e-06
31645,primer-uds-north,4.7559195,3162277660.1683793,113.68773652076456,77879.45208984206,4.891422887439735,0.2254024042168071,0.0460303976580759,-1.7247845431742594,0.30186439931461084,1.3314808842885564e-06,1.455,3.671056845830528,4.88794201535999e-06,1.3,1.3398923884427196,8.514111191989283e-06,2.8912740040309102e-06,4.206803675864975e-06,1.0614031225669515e-05,1.379824059337037e-05,1.8488157544958314e-05
32025,primer-uds-north,4.0433307,524807460.2497734,84.81280966663823,23223.476114163794,4.365927225919808,0.2994297090135069,0.0465935778210277,-2.0199220699709324,0.00672687251793791,2.962013987193391e-07,1.455,3.671056845830528,1.0873721725132075e-06,1.3,1.0553474920821169,1.4918221437882057e-06,6.431931649791694e-07,9.358460550446914e-07,2.361198671488184e-06,3.069558272934639e-06,3.2394506251414854e-06
32237,primer-uds-north,4.6121683,5011872336.272715,75.56104237564186,279417.9142041641,5.446254246411705,0.7254191144338352,0.0902246584262055,-2.26315937065731,-0.2365104281684398,3.175050339220727e-06,1.455,3.671056845830528,1.165579028365279e-05,1.3,3.3098749950937436,5.015297145029468e-05,6.8945342104430465e-06,1.0031547276194634e-05,2.531022701205972e-05,3.2903295115677636e-05,0.00010890579375957153
32986,primer-uds-north,4.152747,1174897554.9395304,88.70998326951835,47523.14049623642,4.676905132628003,0.0750552130275679,0.023515970774068,-1.2600448754279223,0.766604067060948,6.339807311245826e-07,1.455,3.671056845830528,2.3273793031195425e-06,1.3,1.1620185745399578,3.5157953742922025e-06,1.3766716658019768e-06,2.003057273741876e-06,5.0538399432032646e-06,6.569991926164243e-06,7.634452652780406e-06
33332,primer-uds-north,4.5419765,5128613839.913659,151.4941816207269,71130.88637486137,4.852058220553786,0.1926219456014826,0.0648442194048642,-1.1820862465244528,0.8445626959644175,1.6205133095918807e-06,1.455,3.671056845830528,5.948996478936759e-06,1.3,1.2966842138709256,1.0028160769394321e-05,3.518899941032648e-06,5.119999414202503e-06,1.2918081718320544e-05,1.6793506233816707e-05,2.1775874428933105e-05
33774,primer-uds-north,7.137637,14125375446.227554,130.27219633898406,264939.4661120276,5.423146656817457,0.144388897479664,0.0344318032419615,-1.5564350808100893,0.470213861678781,5.190352102426195e-06,1.455,3.671056845830528,1.9054077617882557e-05,1.3,3.1326868599807765,7.759759615737285e-05,1.127070638609319e-05,1.6398877791765593e-05,4.137540383601325e-05,5.378802498681723e-05,0.00016850103910052001
35111,primer-uds-north,5.6563144,9332543007.969925,110.39002628754632,243775.72334747537,5.386990453779527,0.4110151046720455,0.0458137970428851,-2.382153737000686,-0.3555047945118157,4.046865018684057e-06,1.455,3.671056845830528,1.4856271530992196e-05,1.3,2.8823171042360896,5.566663120064083e-05,8.78765573310893e-06,1.2786039091673493e-05,3.225998373783142e-05,4.1937978859180854e-05,0.00012087855378290849
36327,primer-uds-north,7.861698,10000000000.0,99.20324935216414,323443.42884938023,5.509798332340186,0.073195090060749,0.0143922608832652,-1.7658823169505744,0.2607666255382959,4.825281540948001e-06,1.455,3.671056845830528,1.7713882833956836e-05,1.3,3.87676645845241,8.927436286553173e-05,1.0477965734316682e-05,1.5245440143430772e-05,3.8465207839340944e-05,5.0004770191143234e-05,0.000193856815839645
42014,primer-uds-north,4.551596,1949844599.7580414,191.7669702235892,16877.282262258297,4.227302513762934,0.0978233558127538,0.0189839969226597,-1.780137255815252,0.24651168667361834,4.86715020198908e-07,1.455,3.671056845830528,1.7867585068697449e-06,1.3,1.034289478380518,2.4024331812809406e-06,1.0568882376590774e-06,1.5377723857939577e-06,3.8798968001361175e-06,5.0438658401769535e-06,5.216817368857935e-06
