id,field,z,m_f444w,color,logSigma,reff_kpc
9791,primer-uds-south,5.0277753,25.72900741267656,-2.3134906261310313,-8.389170332049183,0.11188804446545644
11501,primer-uds-south,4.6799717,24.161426985263038,-1.9390019791358313,-7.5415257403633165,0.08679155573125136
14258,primer-uds-south,5.4718714,26.128925640768806,-1.8476728934559503,-8.882704718765755,0.1642733944448308
17986,primer-uds-south,4.940114,23.62942999244077,-2.130163055683443,-7.14720431830178,0.07042326572571035
21488,primer-uds-south,5.413992,23.765645948832542,-2.7315461252008966,-7.194415317747687,0.06983585733604344
22358,primer-uds-south,4.6764946,26.747955630796923,-1.0554050540854547,-8.749729524503527,0.10599213398821127
23107,primer-uds-south,4.9525127,26.573590476923357,-1.81150229070046,-9.085352877865851,0.16902787965091745
25430,primer-uds-south,7.1282,25.964007338714804,-2.013586970842823,-8.115816674133361,0.07330048856467192
28931,primer-uds-south,7.9047303,24.66221248031192,-2.6862562036577238,-7.477740453175528,0.06403652116954194
29392,primer-uds-south,7.4709635,25.275438840717097,-2.2589891105107256,-8.102761139841908,0.09915001900293842
30157,primer-uds-south,4.726915,27.006139092252823,-1.324684694027244,-9.099098489720209,0.1407088541482793
30191,primer-uds-south,4.036579,26.216232409909967,-1.9619942585749222,-8.803099839889063,0.14398042061934907
30520,primer-uds-south,5.349781,25.98068432506585,-1.5127164958392534,-8.588970348655335,0.12541466121274045
32880,primer-uds-south,4.7559557,25.88050260995908,-2.281287378798247,-8.38134452670403,0.10341219140791683
33445,primer-uds-south,4.34576,26.171028678161367,-0.73517092609573,-8.809718721628235,0.14813361631268565
33898,primer-uds-south,4.545273,26.803258520725198,-1.1110544596824141,-8.799672147637185,0.10944208787273796
36872,primer-uds-south,7.135115,25.577133767818896,-2.8420752530354463,-8.02955129059669,0.07931382445272976
37557,primer-uds-south,5.655718,24.401533235274094,-2.3692278005811893,-8.080242714587227,0.14448232119913437
37751,primer-uds-south,5.3592114,24.54062645912783,-2.8697968464790478,-7.504933665382031,0.06987817287995404
37878,primer-uds-south,4.7731967,26.037655882407932,-1.5717325980292145,-8.714164005694535,0.14110773680466823
39711,primer-uds-south,5.461955,26.80543264424773,-1.5680210859877803,-8.868426559222637,0.11833868820158859
44435,primer-uds-south,5.1732736,26.065333198619122,-2.59084398782948,-8.414090406098452,0.09862308043066938
45383,primer-uds-south,4.8551655,26.388226222928033,-1.5797709626570864,-8.703508546185766,0.11860664697163947
45637,primer-uds-south,4.5362873,24.81841886640178,-1.2524027736250254,-8.00955317134851,0.1099240731348419
47509,primer-uds-south,5.659403,24.918746938056728,-1.689379387259013,-8.555440254808302,0.1967753709572188
48686,primer-uds-south,4.843895,26.66227596481878,-1.2852376282492415,-9.217072579145086,0.18883439301175303
48982,primer-uds-south,5.38785,25.551903502724155,-2.164104012252995,-8.096288880410343,0.08664903684941647
50716,primer-uds-south,7.8636265,26.04828433036085,-2.7794052601051575,-8.108330752277325,0.06990504346274642
51593,primer-uds-south,4.457851,25.076901726228805,-3.0937608912104295,-8.015257131821865,0.09823092206583676
52581,primer-uds-south,6.166954,24.595889195335236,-2.5018263190910126,-7.611617902155627,0.07702489447674957
55634,primer-uds-south,6.879805,25.59659776763805,-0.5508881482876866,-7.982690003362705,0.07447756139010417
55783,primer-uds-south,4.6260314,24.3459192784645,-2.0819945629285215,-7.820872942344845,0.10996452826156412
