id,field,group,z_phot,n_bands,ir_excess,r_eff,z_dist_pred,chi2nu_null,chi2nu_geff,delta_chi2_nu,delta_BIC,verdict
33898,primer-uds-south,Silver,4.545273,7,2.782414,109.442088,0.033746,7.938650,7.880285,0.058364,0.291822,Weak
36872,primer-uds-south,Silver,7.135115,7,13.703456,79.313824,0.095205,93.203539,95.995171,-2.791632,-13.958159,Null wins
37751,primer-uds-south,Silver,5.359211,7,14.057845,69.878173,0.049746,420.829618,432.453845,-11.624227,-58.121134,Null wins
37878,primer-uds-south,Silver,4.773197,7,4.252977,141.107737,0.037909,7.975547,7.615413,0.360134,1.800670,Weak
39711,primer-uds-south,Silver,5.461955,7,4.238463,118.338688,0.051986,15.024091,15.265060,-0.240969,-1.204846,Neutral
44435,primer-uds-south,Silver,5.173274,7,10.872705,98.623080,0.045816,30.846204,31.167625,-0.321421,-1.607103,Neutral
45383,primer-uds-south,Silver,4.855166,7,4.284581,118.606647,0.039468,5.888121,6.036464,-0.148342,-0.741711,Neutral
45637,primer-uds-south,Silver,4.536287,7,3.169284,109.924073,0.033587,220.449501,218.094234,2.355268,11.776338,Weak
48982,primer-uds-south,Silver,5.387850,7,7.339080,86.649037,0.050365,72.182243,74.821750,-2.639506,-13.197531,Null wins
50716,primer-uds-south,Silver,7.863626,7,12.934871,69.905043,0.118006,28.597081,63.507723,-34.910642,-174.553211,Null wins
51593,primer-uds-south,Silver,4.457851,7,17.278433,98.230922,0.032217,99.499701,19.630896,79.868804,399.344022,Weak
52581,primer-uds-south,Silver,6.166954,7,10.016835,77.024894,0.068654,594.624196,411.636707,182.987490,914.937448,Weak
55634,primer-uds-south,Silver,6.879805,7,1.660945,74.477561,0.087791,89.021756,87.704646,1.317111,6.585553,Weak
55783,primer-uds-south,Silver,4.626031,7,6.804525,109.964528,0.035193,353.674471,356.096804,-2.422333,-12.111664,Null wins
57494,primer-uds-south,Silver,4.023993,7,5.172915,122.477146,0.025184,1147.628311,1164.826835,-17.198524,-85.992622,Null wins
59880,primer-uds-south,Silver,5.663111,7,8.791588,120.006113,0.056511,15.625919,15.940091,-0.314172,-1.570860,Neutral
60046,primer-uds-south,Silver,5.462843,7,2.459930,120.808528,0.052005,28.171146,28.443928,-0.272782,-1.363908,Neutral
60446,primer-uds-south,Silver,4.366050,7,10.713340,100.027632,0.030651,135.332494,46.268254,89.064241,445.321204,Weak
62395,primer-uds-south,Silver,5.659185,7,12.455809,79.428866,0.056421,452.069911,464.332174,-12.262263,-61.311314,Null wins
69772,primer-uds-south,Silver,5.429376,7,10.350105,69.608703,0.051270,660.500633,678.609795,-18.109162,-90.545811,Null wins
9246,ceers-full,Silver,4.604410,6,7.989469,69.265649,0.034802,119.232241,114.782987,4.449254,17.797016,Weak
12234,ceers-full,Silver,6.142212,6,6.474550,57.947586,0.068031,468.599348,271.967231,196.632116,786.528466,Weak
12544,ceers-full,Silver,4.549665,6,3.360492,83.876737,0.033824,58.972106,58.702401,0.269705,1.078821,Weak
13736,ceers-full,Silver,5.356953,6,10.253717,64.480525,0.049697,119.689253,126.637335,-6.948082,-27.792328,Null wins
14076,ceers-full,Silver,5.661391,6,4.556989,73.166893,0.056472,41.307610,42.252448,-0.944838,-3.779352,Neutral
19354,ceers-full,Silver,5.427918,6,11.057332,63.349080,0.051238,163.804951,171.774897,-7.969946,-31.879784,Null wins
20632,ceers-full,Silver,5.653135,6,13.654745,62.625804,0.056283,443.318933,458.904927,-15.585994,-62.343976,Null wins
22049,ceers-full,Silver,7.135023,6,10.713721,55.620841,0.095202,268.206471,274.444055,-6.237584,-24.950337,Null wins
23054,ceers-full,Silver,6.868297,6,5.421092,64.284603,0.087464,0.968648,0.952501,0.016147,0.064590,Weak
24464,ceers-full,Silver,5.655386,6,7.183577,61.578734,0.056334,432.783769,443.998901,-11.215132,-44.860529,Null wins
28748,ceers-full,Silver,4.752955,6,10.224399,65.657567,0.037530,643.784734,647.209708,-3.424974,-13.699895,Null wins
29421,ceers-full,Silver,4.785098,6,4.253537,70.824430,0.038134,495.264591,495.434211,-0.169620,-0.678481,Neutral
30600,ceers-full,Silver,4.025932,6,9.925483,87.274107,0.025213,19.401009,19.922887,-0.521877,-2.087510,Neutral
36886,ceers-full,Silver,4.449920,6,8.343958,71.038286,0.032080,437.634052,228.838658,208.795394,835.181575,Weak
36985,ceers-full,Silver,5.653714,6,14.440671,61.344677,0.056296,403.636211,418.864179,-15.227968,-60.911870,Null wins
39094,ceers-full,Silver,4.731530,6,4.811341,68.478691,0.037130,297.619594,298.333470,-0.713877,-2.855506,Neutral
42093,ceers-full,Silver,6.445882,6,16.711101,56.236054,0.075869,955.695141,297.046299,658.648842,2634.595367,Weak
48983,ceers-full,Silver,7.136761,6,11.926691,51.930819,0.095254,376.381359,426.580727,-50.199369,-200.797475,Null wins
49360,ceers-full,Silver,4.737312,6,3.038993,68.911838,0.037237,14.406165,14.115833,0.290332,1.161329,Weak
57051,ceers-full,Silver,5.668079,6,5.970744,64.394830,0.056625,230.113474,235.514594,-5.401121,-21.604482,Null wins
58630,ceers-full,Silver,4.546808,6,6.400629,68.526011,0.033774,282.148602,283.620869,-1.472267,-5.889069,Null wins
59626,ceers-full,Silver,6.367115,6,3.510861,57.408073,0.073796,770.753944,386.403875,384.350069,1537.400276,Weak
60774,ceers-full,Silver,5.284768,6,7.494912,62.041778,0.048153,706.355567,726.683093,-20.327525,-81.310101,Null wins
63106,ceers-full,Silver,5.655657,6,6.896441,59.955076,0.056340,1145.359301,1177.943429,-32.584128,-130.336510,Null wins
68816,ceers-full,Silver,4.532283,6,12.354182,70.806396,0.033517,89.214353,87.404931,1.809422,7.237688,Weak
71380,ceers-full,Silver,7.126263,6,14.995846,54.160871,0.094943,388.137690,401.330415,-13.192725,-52.770899,Null wins
72633,ceers-full,Silver,5.443396,6,2.267373,67.061422,0.051577,203.603654,203.903873,-0.300219,-1.200875,Neutral
73890,ceers-full,Silver,5.660318,6,4.282278,76.251095,0.056447,39.076398,39.769168,-0.692770,-2.771079,Neutral
8118,primer-cosmos-west,Silver,5.642418,7,3.241512,124.267569,0.056037,15.453868,15.668410,-0.214542,-1.072711,Neutral
