rank,pair_type,score,source_1_id,source_2_id,s1_sample,s2_sample,s1_field,s2_field,same_field,s1_z,s2_z,delta_z,s1_logSigma,s2_logSigma,delta_logSigma,s1_Sigma_rank,s2_Sigma_rank,s1_color_AB,s2_color_AB,delta_color,s1_flux_ratio,s2_flux_ratio,s1_Av,s2_Av,delta_Av,sep_arcmin,sep_deg,higher_z_bluer,higher_z_lower_Sigma
70,III,288.6165,19354,47021,A,A,ceers-full,ceers-full,True,5.4279,8.0231,2.5951,-4.295,-5.003,0.708,115,234,-2.609,-1.44,-1.169,11.057,3.767,1.6,0.9,0.7,3.78,0.063,True,True
71,III,288.4885,5434,37563,A,A,gds,gds,True,4.1073,5.7131,1.6059,-4.431,-5.356,0.925,128,281,-2.133,-0.801,-1.333,7.135,2.091,1.3,0.1,1.2,3.94,0.0657,True,True
72,III,288.421,61378,69921,A,A,primer-uds-north,primer-uds-north,True,7.4583,5.6549,1.8034,-5.262,-4.553,0.709,267,161,-1.003,-2.906,1.902,2.52,14.531,2.2,2.8000000000000003,-0.6,3.03,0.0505,True,True
73,III,288.0985,61010,66007,A,A,primer-uds-north,primer-uds-north,True,7.1342,4.5963,2.5379,-5.287,-4.557,0.731,273,163,-1.572,-2.733,1.162,4.253,12.397,1.0,0.7000000000000001,0.3,0.79,0.0132,True,True
74,I,287.955,33445,66511,A,A,primer-uds-south,primer-uds-south,True,4.3458,7.1308,2.785,-5.25,-4.004,1.246,266,66,-0.735,-4.011,3.276,1.968,40.221,0.0,3.2,-3.2,3.65,0.0608,False,False
75,III,287.754,13074,16152,A,A,primer-cosmos-west,primer-cosmos-west,True,5.2148,5.7144,0.4996,-3.796,-4.723,0.927,46,199,-2.885,-1.236,-1.649,14.255,3.122,2.5,0.0,2.5,3.3,0.0551,True,True
76,III,287.5795,41913,71321,A,A,ceers-full,ceers-full,True,5.246,7.1293,1.8833,-3.38,-4.476,1.096,39,139,-3.476,-2.347,-1.129,24.568,8.687,2.3000000000000003,1.9,0.4,4.8,0.0801,True,True
77,III,287.573,16053,46281,A,A,gds,gds,True,6.9018,4.7896,2.1122,-5.374,-4.676,0.698,284,188,-0.79,-2.09,1.299,2.07,6.853,2.0,-99.0,101.0,3.91,0.0652,True,True
78,III,286.9515,39711,51593,A,A,primer-uds-south,primer-uds-south,True,5.462,4.4579,1.0041,-5.308,-4.455,0.853,275,132,-1.568,-3.094,1.526,4.238,17.278,1.5,1.0,0.5,3.05,0.0509,True,True
79,III,286.649,16053,46221,A,A,gds,gds,True,6.9018,4.0452,2.8566,-5.374,-4.548,0.825,284,158,-0.79,-1.771,0.981,2.07,5.111,2.0,-99.0,101.0,3.63,0.0605,True,True
80,III,286.575,51593,60046,A,A,primer-uds-south,primer-uds-south,True,4.4579,5.4628,1.005,-4.455,-5.145,0.69,132,254,-3.094,-0.977,-2.116,17.278,2.46,1.0,1.0,0.0,1.0,0.0166,True,True
81,III,286.1675,61010,70423,A,A,primer-uds-north,primer-uds-north,True,7.1342,5.4777,1.6565,-5.287,-4.663,0.624,273,186,-1.572,-3.024,1.452,4.253,16.198,1.0,0.6000000000000001,0.4,1.24,0.0206,True,True
82,III,284.558,16999,19416,A,A,primer-uds-north,primer-uds-north,True,4.2059,5.4332,1.2272,-4.034,-5.405,1.37,72,285,-2.982,-1.38,-1.601,15.582,3.565,1.1,1.9,-0.8,2.84,0.0473,True,True
83,III,284.49,21620,22702,A,A,primer-cosmos-west,primer-cosmos-west,True,8.0871,5.4312,2.656,-4.626,-3.806,0.82,182,48,-2.061,-3.062,1.001,6.675,16.784,3.7,2.2,1.5,0.43,0.0072,True,True
84,III,284.03999999999996,22702,32535,A,A,primer-cosmos-west,primer-cosmos-west,True,5.4312,5.7492,0.318,-3.806,-4.325,0.519,48,118,-3.062,-1.188,-1.874,16.784,2.987,2.2,0.6000000000000001,1.6,3.07,0.0511,True,True
85,III,283.73749999999995,8559,10404,A,A,primer-uds-north,primer-uds-north,True,7.9365,5.656,2.2805,-4.517,-3.982,0.536,145,64,-1.912,-3.181,1.269,5.818,18.724,3.9,2.2,1.7,0.25,0.0042,True,True
86,III,283.68899999999996,55634,62395,A,A,primer-uds-south,primer-uds-south,True,6.8798,5.6592,1.2206,-4.423,-4.057,0.366,127,76,-0.551,-2.738,2.188,1.661,12.456,0.1,1.6,-1.5,0.88,0.0146,True,True
87,III,283.2555,50325,55423,A,A,primer-cosmos-east,primer-cosmos-east,True,6.4277,5.408,1.0197,-5.032,-4.095,0.937,238,82,-1.079,-2.976,1.897,2.702,15.501,0.1,1.4,-1.3,1.89,0.0315,True,True
88,III,282.61,36327,70423,A,A,primer-uds-north,primer-uds-north,True,7.8617,5.4777,2.384,-5.129,-4.663,0.465,251,186,-1.766,-3.024,1.258,5.086,16.198,0.7000000000000001,0.6000000000000001,0.1,4.66,0.0777,True,True
89,III,282.3895,33774,66007,A,A,primer-uds-north,primer-uds-north,True,7.1376,4.5963,2.5413,-5.07,-4.557,0.514,241,163,-1.556,-2.733,1.177,4.193,12.397,2.9000000000000004,0.7000000000000001,2.2,3.44,0.0573,True,True
90,III,282.35749999999996,5434,16053,A,A,gds,gds,True,4.1073,6.9018,2.7945,-4.431,-5.374,0.943,128,284,-2.133,-0.79,-1.343,7.135,2.07,1.3,2.0,-0.7,1.63,0.0271,True,True
91,III,282.3065,20010,55490,A,A,ceers-full,ceers-full,True,8.9344,7.1493,1.7851,-4.968,-3.522,1.446,228,40,-1.495,-2.338,0.843,3.964,8.618,3.7,2.7,1.0,3.21,0.0536,True,True
92,III,282.265,6756,20897,A,A,ceers-full,ceers-full,True,7.1361,4.5331,2.603,-4.153,-3.869,0.284,95,53,-2.375,-3.669,1.294,8.91,29.349,2.5,1.3,1.2,4.29,0.0715,True,True
93,III,282.232,67076,68947,A,A,primer-uds-south,primer-uds-south,True,7.9368,5.656,2.2808,-4.528,-3.973,0.554,149,62,-1.909,-3.138,1.228,5.804,17.991,3.9,2.2,1.7,0.25,0.0042,True,True
94,III,281.96549999999996,48983,67137,A,A,ceers-full,ceers-full,True,7.1368,7.4965,0.3597,-3.536,-4.25,0.714,41,108,-2.691,-0.488,-2.203,11.927,1.568,2.7,3.9,-1.2,2.28,0.0381,True,True
95,III,281.84000000000003,61378,70813,A,A,primer-uds-north,primer-uds-north,True,7.4583,4.7063,2.752,-5.262,-4.49,0.772,267,141,-1.003,-1.951,0.948,2.52,6.032,2.2,0.7000000000000001,1.5,1.17,0.0195,True,True
96,III,281.8115,10404,15257,A,A,primer-uds-north,primer-uds-north,True,5.656,6.9201,1.2641,-3.982,-4.731,0.75,64,201,-3.181,-1.774,-1.407,18.724,5.126,2.2,1.3,0.9,1.93,0.0322,True,True
97,III,281.44,29106,52856,A,A,primer-uds-north,primer-uds-north,True,5.2048,6.3209,1.116,-4.528,-5.287,0.76,150,272,-1.936,-0.498,-1.438,5.948,1.582,1.1,0.0,1.1,4.01,0.0669,True,True
98,III,281.2775,18540,22702,A,A,primer-cosmos-west,primer-cosmos-west,True,8.9337,5.4312,3.5025,-4.869,-3.806,1.063,219,48,-2.025,-3.062,1.037,6.458,16.784,1.7000000000000002,2.2,-0.5,1.27,0.0211,True,True
99,III,280.6565,19416,43738,A,A,primer-uds-north,primer-uds-north,True,5.4332,5.0901,0.3431,-5.405,-4.063,1.342,285,78,-1.38,-2.685,1.305,3.565,11.862,1.9,1.7000000000000002,0.2,3.21,0.0535,True,True
100,III,280.46000000000004,33774,70423,A,A,primer-uds-north,primer-uds-north,True,7.1376,5.4777,1.66,-5.07,-4.663,0.407,241,186,-1.556,-3.024,1.467,4.193,16.198,2.9000000000000004,0.6000000000000001,2.3,4.04,0.0674,True,True
101,III,279.742,20010,63106,A,A,ceers-full,ceers-full,True,8.9344,5.6557,3.2788,-4.968,-3.95,1.017,228,60,-1.495,-2.097,0.601,3.964,6.896,3.7,2.2,1.5,4.87,0.0811,True,True
102,III,279.014,22773,52856,A,A,primer-uds-north,primer-uds-north,True,4.4013,6.3209,1.9196,-4.533,-5.287,0.754,153,272,-1.65,-0.498,-1.152,4.573,1.582,1.3,0.0,1.3,4.27,0.0711,True,True
103,III,278.463,18892,36327,A,A,primer-uds-north,primer-uds-north,True,4.7295,7.8617,3.1322,-4.592,-5.129,0.536,172,251,-2.674,-1.766,-0.908,11.736,5.086,1.0,0.7000000000000001,0.3,1.77,0.0296,True,True
104,III,278.33799999999997,15257,42859,A,A,primer-uds-north,primer-uds-north,True,6.9201,6.5809,0.3392,-4.731,-4.421,0.31,201,126,-1.774,-3.653,1.879,5.126,28.92,1.3,1.2000000000000002,0.1,3.17,0.0528,True,True
105,III_weak,278.159,5434,22388,A,A,gds,gds,True,4.1073,7.1819,3.0746,-4.431,-2.943,1.488,128,38,-2.133,-0.785,-1.348,7.135,2.062,1.3,0.2,1.1,2.86,0.0477,True,False
106,III,278.0145,36327,56783,A,A,primer-uds-north,primer-uds-north,True,7.8617,5.3134,2.5483,-5.129,-4.576,0.553,251,169,-1.766,-3.33,1.564,5.086,21.479,0.7000000000000001,1.8,-1.1,4.07,0.0679,True,True
107,III,277.911,48983,72956,A,A,ceers-full,ceers-full,True,7.1368,8.9042,1.7674,-3.536,-4.596,1.06,41,175,-2.691,-1.699,-0.992,11.927,4.784,2.7,2.1,0.6,2.32,0.0386,True,True
108,III,277.163,48927,67270,A,A,primer-uds-north,primer-uds-north,True,7.9073,5.6651,2.2422,-5.073,-4.106,0.966,242,84,-1.601,-2.492,0.891,4.368,9.928,2.8000000000000003,1.3,1.5,4.89,0.0814,True,True
109,III,277.101,31581,52856,A,A,primer-uds-north,primer-uds-north,True,4.1634,6.3209,2.1574,-5.06,-5.287,0.228,240,272,-2.356,-0.498,-1.858,8.757,1.582,0.0,0.0,0.0,2.27,0.0378,True,True
110,III,277.006,41179,42093,A,A,ceers-full,ceers-full,True,7.2423,6.4459,0.7964,-4.229,-3.857,0.372,104,52,-1.38,-3.058,1.678,3.564,16.711,2.1,1.7000000000000002,0.4,0.23,0.0038,True,True
111,III,276.976,14605,46281,A,A,gds,gds,True,6.9281,4.7896,2.1384,-4.925,-4.676,0.25,223,188,-0.742,-2.09,1.348,1.981,6.853,2.5,-99.0,101.5,3.9,0.0649,True,True
