id,field,z_phot,z_dist_fossil,chi2nu_null,chi2nu_geff,delta_chi2nu,bic_null,bic_geff,delta_bic,Av_null,Av_geff,C_AGN,alpha_AGN,ir_excess,verdict,n_filters
35367,gds,5.489,0.16998,3880.87,3850.33,30.53,7771.5,7710.4,61.1,0.55,0.67,0.0764,0.178,16.02,Support,7
37563,gds,5.713,0.16998,295.37,31.54,263.82,600.5,72.8,527.6,2.26,0.0,0.0688,1.035,2.09,Support,7
39509,gds,4.288,0.16998,102.34,57.5,44.84,214.4,124.7,89.7,0.65,0.0,0.2366,0.413,5.07,Support,7
41129,gds,7.133,0.16998,2.43,2.44,-0.01,14.6,14.6,-0.0,3.01,3.14,0.1115,0.01,32.54,Neutral,7
44531,gds,7.124,0.16998,0.82,0.84,-0.02,9.8,9.8,-0.0,2.68,2.81,0.3768,0.01,6.84,Neutral,6
45202,gds,7.131,0.16998,45.75,48.14,-2.39,101.2,106.0,-4.8,2.77,2.9,0.157,0.01,20.93,Null wins,7
46221,gds,4.045,0.16998,551.72,129.95,421.77,1113.2,269.6,843.5,0.66,0.0,0.2717,0.393,5.11,Support,7
46281,gds,4.79,0.16998,20.87,20.78,0.08,51.5,51.3,0.2,0.0,0.1,0.0002,2.5,6.85,Neutral,7
51983,gds,7.135,0.16998,41.17,41.37,-0.2,92.1,92.5,-0.4,3.34,3.46,0.1625,0.01,12.24,Neutral,7
52017,gds,6.331,0.16998,314.04,15.26,298.79,637.8,40.2,597.6,1.92,0.0,0.1122,0.773,3.73,Support,7
64049,gds,5.271,0.16998,5.04,4.98,0.06,19.8,19.7,0.1,2.31,2.44,0.0513,1.004,6.88,Neutral,7
65646,gds,5.658,0.16998,26.9,0.79,26.11,63.5,11.3,52.2,4.61,4.98,0.1406,0.376,9.67,Support,7
66116,gds,6.846,0.16998,59.0,57.79,1.22,127.7,125.3,2.4,0.42,0.53,0.2644,0.139,7.23,Neutral,7
