id,field,z_phot,muv,lbol,av_catalog,re_phys_pc,logMstar_uv_method,logMstar_lbol_method,logMstar_color_corrected,logMstar_best,logMstar_err,method,n_bands_used
16083,primer-cosmos-east,4.57788,-18.228176455232106,44.54384430841221,1.0,90.46193984352976,9.35,-32.24,9.35,9.35,0.3,M_UV_relation,0
16408,primer-cosmos-east,4.574863,-18.39209251194425,44.60082383946506,1.1,91.36930141555192,9.42,-32.23,9.42,9.42,0.3,M_UV_relation,0
16563,primer-cosmos-east,5.0219927,-18.386393790064066,45.19648364960499,1.8,70.93498214271098,9.5,-32.23,9.5,9.5,0.3,M_UV_relation,0
17813,primer-cosmos-east,5.226693,-17.484805685649018,44.476127034495434,1.8,109.40921548419055,9.15,-32.24,9.15,9.15,0.3,M_UV_relation,0
18893,primer-cosmos-east,4.8477397,-18.71116084971713,43.82570538272963,0.1,166.86677167428374,9.61,-32.24,9.61,9.61,0.3,M_UV_relation,0
19462,primer-cosmos-east,4.365069,-17.517428739792308,43.784074278711806,0.4,94.0519368287005,9.0,-32.24,9.0,9.0,0.3,M_UV_relation,0
19946,primer-cosmos-east,5.974449,-17.95800058449554,44.67299303497486,1.0,87.65106225812531,9.5,-32.23,9.5,9.5,0.3,M_UV_relation,0
20187,primer-cosmos-east,6.6081676,-19.234168973485463,45.863721409238245,2.4000000000000004,72.95404931448154,10.17,-32.22,10.17,10.17,0.3,M_UV_relation,0
21943,primer-cosmos-east,4.7154994,-17.48759376893191,44.16644971617496,0.8,118.53507125803986,9.06,-32.24,9.06,9.06,0.3,M_UV_relation,0
23571,primer-cosmos-east,4.760719,-17.571934379257396,43.69029471827781,0.2,102.9091919716332,9.1,-32.24,9.1,9.1,0.3,M_UV_relation,0
26971,primer-cosmos-east,6.4066525,-19.574107712870415,44.79830651459673,0.5,133.57555911087675,10.27,-32.23,10.27,10.27,0.3,M_UV_relation,0
27072,primer-cosmos-east,4.957128,-24.93581603619396,46.59575706911795,0.0,63.849597371654575,12.3,-32.22,12.3,12.3,0.3,M_UV_relation,0
27765,primer-cosmos-east,5.1726418,-18.41738423430438,45.10875502552641,2.2,83.07954313529999,9.54,-32.23,9.54,9.54,0.3,M_UV_relation,0
31668,primer-cosmos-east,5.6076913,-18.95291826112945,45.495762608354575,1.6,65.8799880032613,9.86,-32.23,9.86,9.86,0.3,M_UV_relation,0
31770,primer-cosmos-east,5.77907,-19.908183131952807,45.84868051222367,1.9,65.86514684958436,10.3,-32.22,10.3,10.3,0.3,M_UV_relation,0
32928,primer-cosmos-east,4.4581003,-19.62050335191405,45.31800454200084,1.7000000000000002,88.29622998359365,9.92,-32.23,9.92,9.92,0.3,M_UV_relation,0
40209,primer-cosmos-east,5.4609075,-17.686411134123567,44.62796065179776,1.4,96.23145359555866,9.28,-32.23,9.28,9.28,0.3,M_UV_relation,0
40642,primer-cosmos-east,4.63434,-18.677568501973504,44.22669922925248,0.8,99.40246644881638,9.55,-32.24,9.55,9.55,0.3,M_UV_relation,0
40799,primer-cosmos-east,7.681151,-17.611949095069065,45.89769968590529,2.6,72.90880432892983,9.67,-32.22,9.67,9.67,0.3,M_UV_relation,0
42464,primer-cosmos-east,5.3674827,-20.146746643649383,45.91706188463195,2.3000000000000003,104.96168627510784,10.32,-32.22,10.32,10.32,0.3,M_UV_relation,0
43445,primer-cosmos-east,5.696871,-16.8612234852915,43.58499888292897,0.5,150.07226935186785,8.97,-32.24,8.97,8.97,0.3,M_UV_relation,0
45179,primer-cosmos-east,7.1054926,-19.021110586668016,45.64953762247929,1.9,59.43450155455832,10.17,-32.22,10.17,10.17,0.3,M_UV_relation,0
47824,primer-cosmos-east,5.655495,-19.22500257938916,45.59278502119888,2.7,104.23361021977952,9.98,-32.23,9.98,9.98,0.3,M_UV_relation,0
48498,primer-cosmos-east,4.453304,-17.737477453146425,43.91211622383651,0.9,183.0793189388025,9.11,-32.24,9.11,9.11,0.3,M_UV_relation,0
48540,primer-cosmos-east,5.656249,-16.855273895371152,43.89404614049595,0.4,129.66140636657602,8.96,-32.24,8.96,8.96,0.3,M_UV_relation,0
50325,primer-cosmos-east,6.427699,-19.421946072118455,44.31072436232306,0.1,136.02620503510835,10.21,-32.24,10.21,10.21,0.3,M_UV_relation,0
50988,primer-cosmos-east,4.526494,-19.50153564592179,45.45869859412608,1.7000000000000002,112.92731964664192,9.89,-32.23,9.89,9.89,0.3,M_UV_relation,0
51514,primer-cosmos-east,4.43674,-19.52710020458859,45.390968712621714,1.9,100.43890060929056,9.88,-32.23,9.88,9.88,0.3,M_UV_relation,0
