id,field,ra,dec,sep_from_center_arcmin,xray_survey,fxb_full_05_7keV,fxb_soft_02_2keV,fxb_hard_27_keV,offaxis_factor,detected
70813,primer-uds-north,34.21381277634704,-5.087049613041547,9.52,XMM-Newton UDS / UDSz X-ray (Kocevski+18),9.992631310941229e-16,3.3308771036470763e-16,1.9985262621882458e-15,6.66,False
71037,primer-uds-north,34.446952703995976,-5.086685438086616,6.44,XMM-Newton UDS / UDSz X-ray (Kocevski+18),5.384398734211856e-16,1.7947995780706188e-16,1.0768797468423711e-15,3.59,False
71893,primer-uds-north,34.356130376619554,-5.084246459987784,3.95,XMM-Newton UDS / UDSz X-ray (Kocevski+18),2.964204224168604e-16,9.880680747228679e-17,5.928408448337208e-16,1.98,False
4278,primer-cosmos-east,150.13230609496728,2.16969237330149,8.58,C-COSMOS (Civano+16),1.6805107163166267e-14,5.097549172827101e-15,3.13695333712437e-14,5.6,False
6282,primer-cosmos-east,150.14915417262176,2.1839552062959657,7.59,C-COSMOS (Civano+16),1.3803200256199254e-14,4.186970744380441e-15,2.5765973811571945e-14,4.6,False
9227,primer-cosmos-east,150.12492421630216,2.214572200483446,6.1,C-COSMOS (Civano+16),9.976029260254246e-15,3.0260622089437883e-15,1.8621921285807927e-14,3.33,False
10696,primer-cosmos-east,150.1495153793968,2.2286532067228113,4.92,C-COSMOS (Civano+16),7.540762577847918e-15,2.2873646486138685e-15,1.4076090145316115e-14,2.51,False
11967,primer-cosmos-east,150.1368162018058,2.2375628581426503,4.56,C-COSMOS (Civano+16),6.904052784243799e-15,2.0942293445539522e-15,1.2887565197255091e-14,2.3,False
14086,primer-cosmos-east,150.14935997753886,2.252564342128723,3.5,C-COSMOS (Civano+16),5.303022702995592e-15,1.6085835532419964e-15,9.89897571225844e-15,1.77,False
14487,primer-cosmos-east,150.12353516120825,2.254835218295432,3.97,C-COSMOS (Civano+16),5.950241783065228e-15,1.8049066741964523e-15,1.1107117995055093e-14,1.98,False
15393,primer-cosmos-east,150.1606400419916,2.260086902949174,3.0,C-COSMOS (Civano+16),4.681915225301761e-15,1.4201809516748676e-15,8.739575087229954e-15,1.56,False
15850,primer-cosmos-east,150.124732216842,2.262793675222228,3.53,C-COSMOS (Civano+16),5.342434901774941e-15,1.6205385868717322e-15,9.97254514997989e-15,1.78,False
16083,primer-cosmos-east,150.15079646268185,2.2640963505382845,2.81,C-COSMOS (Civano+16),4.479407785062761e-15,1.358753694802371e-15,8.361561198783821e-15,1.49,False
16408,primer-cosmos-east,150.15615715727048,2.2660570085501224,2.65,C-COSMOS (Civano+16),4.313368020024263e-15,1.3083882994073598e-15,8.051620304045291e-15,1.44,False
16563,primer-cosmos-east,150.11970350414322,2.26701306487594,3.53,C-COSMOS (Civano+16),5.341639064769095e-15,1.6202971829799588e-15,9.971059587568978e-15,1.78,False
17813,primer-cosmos-east,150.15276902849044,2.2731888044520874,2.25,C-COSMOS (Civano+16),3.949905540624354e-15,1.1981380139893873e-15,7.373157009165462e-15,1.32,False
18893,primer-cosmos-east,150.175824712277,2.2802447039933083,2.02,C-COSMOS (Civano+16),3.766393341049544e-15,1.1424726467850285e-15,7.030600903292483e-15,1.26,False
19462,primer-cosmos-east,150.11522538084762,2.2829872921207177,3.14,C-COSMOS (Civano+16),4.843582884744605e-15,1.4692201417058636e-15,9.04135471818993e-15,1.61,False
19946,primer-cosmos-east,150.13261022932556,2.2854226857852873,2.21,C-COSMOS (Civano+16),3.913300690620782e-15,1.1870345428216374e-15,7.304827955825461e-15,1.3,False
20187,primer-cosmos-east,150.16025737937798,2.286544505284899,1.41,C-COSMOS (Civano+16),3.3714027997117772e-15,1.022658849245906e-15,6.293285226128652e-15,1.12,False
21943,primer-cosmos-east,150.16301259177584,2.2946759190769757,0.94,C-COSMOS (Civano+16),3.164624750049758e-15,9.5993617418176e-16,5.907299533426216e-15,1.05,False
23571,primer-cosmos-east,150.12923557237977,2.301744061249596,1.91,C-COSMOS (Civano+16),3.683827937187485e-15,1.1174278076135373e-15,6.876478816083307e-15,1.23,False
26971,primer-cosmos-east,150.12915260966713,2.3158155426656775,1.88,C-COSMOS (Civano+16),3.664086760608939e-15,1.1114396507180447e-15,6.8396286198033525e-15,1.22,False
27072,primer-cosmos-east,150.20508952388434,2.3169437028962645,2.74,C-COSMOS (Civano+16),4.4026279590655665e-15,1.3354638142498886e-15,8.218238856922392e-15,1.47,False
27765,primer-cosmos-east,150.15836273334443,2.320200072943564,0.62,C-COSMOS (Civano+16),3.072034485278089e-15,9.318504605343537e-16,5.7344643725191e-15,1.02,False
31668,primer-cosmos-east,150.14110035653763,2.3383750263790875,2.05,C-COSMOS (Civano+16),3.784182056114418e-15,1.1478685570213736e-15,7.063806504746914e-15,1.26,False
31770,primer-cosmos-east,150.17577901959814,2.3387875925965056,1.97,C-COSMOS (Civano+16),3.7271730464240695e-15,1.130575824081968e-15,6.9573896866582646e-15,1.24,False
32928,primer-cosmos-east,150.14445146027904,2.3443942646772653,2.26,C-COSMOS (Civano+16),3.961418632959989e-15,1.20163031866453e-15,7.394648114858646e-15,1.32,False
40209,primer-cosmos-east,150.17591088267326,2.3767573925799814,4.12,C-COSMOS (Civano+16),6.1787656088010995e-15,1.8742255680030003e-15,1.1533695803095387e-14,2.06,False
40642,primer-cosmos-east,150.17584231718274,2.3787301519614044,4.23,C-COSMOS (Civano+16),6.3577151532157674e-15,1.928506929808783e-15,1.1867734952669433e-14,2.12,False
40799,primer-cosmos-east,150.1568560578954,2.379457522024708,4.17,C-COSMOS (Civano+16),6.263095254818947e-15,1.899805560628414e-15,1.1691111142328702e-14,2.09,False
42464,primer-cosmos-east,150.1701806639219,2.388389880603334,4.74,C-COSMOS (Civano+16),7.21770047045655e-15,2.1893691427051536e-15,1.3473040878185561e-14,2.41,False
43445,primer-cosmos-east,150.12941198164475,2.3936625758734276,5.34,C-COSMOS (Civano+16),8.355097498083088e-15,2.534379574418537e-15,1.5596181996421765e-14,2.79,False
45179,primer-cosmos-east,150.15583581243612,2.403109007403011,5.59,C-COSMOS (Civano+16),8.863453917581727e-15,2.6885810216664574e-15,1.6545113979485892e-14,2.95,False
47824,primer-cosmos-east,150.12873540017637,2.416333394573136,6.65,C-COSMOS (Civano+16),1.1290757584956482e-14,3.4248631341034663e-15,2.1076080825252102e-14,3.76,False
48498,primer-cosmos-east,150.17769474455164,2.4195602786060304,6.66,C-COSMOS (Civano+16),1.131331719535449e-14,3.4317062159241953e-15,2.111819209799505e-14,3.77,False
