ID,field,z_phot,z_dist,chi2nu_null,chi2nu_geff,delta_chi2nu,bic_null,bic_geff,delta_bic,C_blue,C_red,C_AGN,alpha_AGN,ir_excess,N_filt
55783,primer-uds-south,4.63,0.0166,8.41465458371669e+83,7.182992355539776e+83,1.231662228176913e+83,2.524396375115007e+84,2.154897706661933e+84,3.694986684530738e+83,1.0,0.0,0.5,1.2,6.8,7
57494,primer-uds-south,4.02,0.0119,1.5600592849107559e+84,1.4219692667543925e+84,1.380900181563634e+83,4.680177854732267e+84,4.2659078002631774e+84,4.1427005446908997e+83,1.0,0.0,0.5,1.2,5.17,7
59568,primer-uds-south,8.9,0.073,4.0413328867971605e+83,1.9754280046028387e+83,2.0659048821943212e+83,8.082665773594321e+83,3.9508560092056774e+83,4.1318097643886425e+83,1.0,0.0,0.5,1.2,8.96,6
59880,primer-uds-south,5.66,0.0266,3.640007500013405e+82,2.7578817133780133e+82,8.821257866353914e+81,1.0920022500040213e+83,8.27364514013404e+82,2.646377359906174e+82,1.0,0.0,0.5,1.2,8.79,7
59971,primer-uds-south,5.39,0.0238,3.361970276130315e+82,2.62638879200713e+82,7.355814841231848e+81,1.0085910828390945e+83,7.87916637602139e+82,2.2067444523695553e+82,1.0,0.0,0.5,1.2,3.62,7
60046,primer-uds-south,5.46,0.0245,1.297127572479108e+83,1.0435041717302883e+83,2.5362340074881962e+82,3.891382717437324e+83,3.130512515190865e+83,7.60870202246459e+82,1.0,0.0,0.5,1.2,2.46,7
60446,primer-uds-south,4.37,0.0144,1.6085462047287307e+83,1.361817345177821e+83,2.4672885955090965e+82,4.825638614186192e+83,4.0854520355334634e+83,7.401865786527287e+82,1.0,0.0,0.5,1.2,10.71,7
62395,primer-uds-south,5.66,0.0266,1.336018186760472e+84,1.0127777079210148e+84,3.232404788394571e+83,4.008054560281416e+84,3.0383331237630446e+84,9.697214365183712e+83,1.0,0.0,0.5,1.2,12.46,7
66511,primer-uds-south,7.13,0.0448,2.2446173123691827e+84,1.4807392698739907e+84,7.638780424951917e+83,4.4892346247383655e+84,2.961478539747982e+84,1.5277560849903836e+84,1.0,0.0,0.5,1.2,40.22,6
67076,primer-uds-south,7.94,0.0567,4.927940021209897e+84,2.838060627335182e+84,2.0898793938747143e+84,1.4783820063629689e+85,8.514181882005547e+84,6.2696381816241425e+84,1.0,0.0,0.5,1.2,5.8,7
68947,primer-uds-south,5.66,0.0265,2.164046128895347e+84,1.6411887672149664e+84,5.228573616803804e+83,6.49213838668604e+84,4.923566301644899e+84,1.5685720850411411e+84,1.0,0.0,0.5,1.2,17.99,7
69772,primer-uds-south,5.43,0.0242,1.0818377632751864e+84,8.448047108185352e+83,2.370330524566512e+83,3.2455132898255595e+84,2.5344141324556057e+84,7.110991573699538e+83,1.0,0.0,0.5,1.2,10.35,7
6756,ceers-full,7.14,0.0449,2.2671169806073743e+84,1.4452046731100923e+84,8.21912307497282e+83,4.5342339612147485e+84,2.8904093462201845e+84,1.6438246149945642e+84,1.0,0.0,0.5,1.2,8.91,6
9246,ceers-full,4.6,0.0164,3.171582977576348e+83,2.616018026850948e+83,5.555649507253995e+82,6.343165955152695e+83,5.232036053701896e+83,1.111129901450799e+83,1.0,0.0,0.5,1.2,7.99,6
12234,ceers-full,6.14,0.0321,3.603036714329992e+84,2.581295027536388e+84,1.0217416867936042e+84,7.206073428659984e+84,5.162590055072775e+84,2.0434833735872084e+84,1.0,0.0,0.5,1.2,6.47,6
12544,ceers-full,4.55,0.0159,3.950821918056173e+82,3.458706720647426e+82,4.9211519740874796e+81,7.901643836112347e+82,6.917413441294851e+82,9.842303948174959e+81,1.0,0.0,0.5,1.2,3.36,6
13736,ceers-full,5.36,0.0234,7.179572930008902e+83,5.715461823598552e+83,1.464111106410349e+83,1.4359145860017802e+84,1.1430923647197105e+84,2.928222212820698e+83,1.0,0.0,0.5,1.2,10.25,6
14076,ceers-full,5.66,0.0266,9.390815168759454e+82,7.185110904906907e+82,2.205704263852546e+82,1.8781630337518907e+83,1.4370221809813815e+83,4.411408527705092e+82,1.0,0.0,0.5,1.2,4.56,6
19354,ceers-full,5.43,0.0241,3.495219286078938e+83,2.7558441222905003e+83,7.393751637884375e+82,6.990438572157876e+83,5.511688244581001e+83,1.478750327576875e+83,1.0,0.0,0.5,1.2,11.06,6
20010,ceers-full,8.93,0.0735,4.230753399910878e+83,2.0539379671693476e+83,2.1768154327415306e+83,8.461506799821756e+83,4.107875934338695e+83,4.353630865483061e+83,1.0,0.0,0.5,1.2,3.96,6
20632,ceers-full,5.65,0.0265,5.908916111023477e+83,4.525780607449528e+83,1.3831355035739486e+83,1.1817832222046955e+84,9.051561214899056e+83,2.766271007147897e+83,1.0,0.0,0.5,1.2,13.65,6
20897,ceers-full,4.53,0.0158,1.5335380077771014e+84,1.3446744979269332e+84,1.8886350985016823e+83,3.067076015554203e+84,2.6893489958538664e+84,3.7772701970033646e+83,1.0,0.0,0.5,1.2,29.35,6
22049,ceers-full,7.14,0.0449,1.7235272100667738e+84,1.098376364260551e+84,6.251508458062228e+83,3.447054420133547e+84,2.196752728521102e+84,1.2503016916124453e+84,1.0,0.0,0.5,1.2,10.71,6
22239,ceers-full,7.13,0.0448,2.1448216988666916e+83,1.4209677953021062e+83,7.238539035645855e+82,4.289643397733384e+83,2.8419355906042124e+83,1.447707807129171e+83,1.0,0.0,0.5,1.2,30.53,6
23054,ceers-full,6.87,0.0412,4.576003514843233e+83,3.049993423459567e+83,1.526010091383666e+83,9.152007029686467e+83,6.099986846919134e+83,3.052020182767332e+83,1.0,0.0,0.5,1.2,5.42,6
24464,ceers-full,5.66,0.0265,5.150646907681276e+83,3.943973500482438e+83,1.2066734071988382e+83,1.0301293815362552e+84,7.887947000964876e+83,2.4133468143976767e+83,1.0,0.0,0.5,1.2,7.18,6
28748,ceers-full,4.75,0.0177,1.2889766567713873e+84,1.0456803173235766e+84,2.4329633944781076e+83,2.5779533135427747e+84,2.091360634647153e+84,4.865926788956215e+83,1.0,0.0,0.5,1.2,10.22,6
