id,field,z_phot,ha_observed_um,ha_instrument,nirspec_programs,has_spectrum,ha_flux,ha_fwhm_kms,ha_ew_angstrom,ha_snr,oiii_flux,oiii_ew,hb_flux,z_spec
60446,primer-uds-south,4.36605,3.52,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
62395,primer-uds-south,5.6591854,4.37,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
66511,primer-uds-south,7.1307554,5.34,MIRI (unlikely),None,False,,,,,,,,
67076,primer-uds-south,7.9367976,5.87,MIRI (unlikely),None,False,,,,,,,,
68947,primer-uds-south,5.6559973,4.37,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
69772,primer-uds-south,5.4293756,4.22,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
6756,ceers-full,7.136083,5.34,MIRI (unlikely),1287|1345,False,,,,,,,,
9246,ceers-full,4.6044097,3.68,NIRSpec (F100LP+G140H/F170LP+G235H),1287|1345,False,,,,,,,,
12234,ceers-full,6.142212,4.69,NIRSpec (F100LP+G140H/F170LP+G235H),1287|1345,False,,,,,,,,
12544,ceers-full,4.549665,3.64,NIRSpec (F100LP+G140H/F170LP+G235H),1287|1345,False,,,,,,,,
13736,ceers-full,5.356953,4.17,NIRSpec (F100LP+G140H/F170LP+G235H),1287|1345,False,,,,,,,,
14076,ceers-full,5.661391,4.37,NIRSpec (F100LP+G140H/F170LP+G235H),1287|1345,False,,,,,,,,
19354,ceers-full,5.4279175,4.22,NIRSpec (F100LP+G140H/F170LP+G235H),1287|1345,False,,,,,,,,
20010,ceers-full,8.934445,6.52,MIRI (unlikely),1287|1345,False,,,,,,,,
20632,ceers-full,5.653135,4.37,NIRSpec (F100LP+G140H/F170LP+G235H),1287|1345,False,,,,,,,,
20897,ceers-full,4.533114,3.63,NIRSpec (F100LP+G140H/F170LP+G235H),1287|1345,False,,,,,,,,
22049,ceers-full,7.1350226,5.34,MIRI (unlikely),1287|1345,False,,,,,,,,
22239,ceers-full,7.131442,5.34,MIRI (unlikely),1287|1345,False,,,,,,,,
23054,ceers-full,6.8682966,5.16,NIRSpec (F100LP+G140H/F170LP+G235H),1287|1345,False,,,,,,,,
24464,ceers-full,5.655386,4.37,NIRSpec (F100LP+G140H/F170LP+G235H),1287|1345,False,,,,,,,,
28748,ceers-full,4.7529554,3.78,NIRSpec (F100LP+G140H/F170LP+G235H),1287|1345,False,,,,,,,,
29421,ceers-full,4.785098,3.8,NIRSpec (F100LP+G140H/F170LP+G235H),1287|1345,False,,,,,,,,
30600,ceers-full,4.025932,3.3,NIRSpec (F100LP+G140H/F170LP+G235H),1287|1345,False,,,,,,,,
36886,ceers-full,4.4499197,3.58,NIRSpec (F100LP+G140H/F170LP+G235H),1287|1345,False,,,,,,,,
36985,ceers-full,5.6537137,4.37,NIRSpec (F100LP+G140H/F170LP+G235H),1287|1345,False,,,,,,,,
39094,ceers-full,4.73153,3.76,NIRSpec (F100LP+G140H/F170LP+G235H),1287|1345,False,,,,,,,,
40589,ceers-full,8.006711,5.91,MIRI (unlikely),1287|1345,False,,,,,,,,
41179,ceers-full,7.24225,5.41,MIRI (unlikely),1287|1345,False,,,,,,,,
41913,ceers-full,5.2459974,4.1,NIRSpec (F100LP+G140H/F170LP+G235H),1287|1345,False,,,,,,,,
42093,ceers-full,6.445882,4.89,NIRSpec (F100LP+G140H/F170LP+G235H),1287|1345,False,,,,,,,,
47021,ceers-full,8.0230665,5.92,MIRI (unlikely),1287|1345,False,,,,,,,,
48983,ceers-full,7.136761,5.34,MIRI (unlikely),1287|1345,False,,,,,,,,
49360,ceers-full,4.737312,3.77,NIRSpec (F100LP+G140H/F170LP+G235H),1287|1345,False,,,,,,,,
55490,ceers-full,7.1493306,5.35,MIRI (unlikely),1287|1345,False,,,,,,,,
