id,field,z_phot,z_dist,chi2nu_null,chi2nu_geff,delta_chi2nu,bic_null,bic_geff,delta_bic,C_blue,C_red,C_AGN,alpha_AGN,ir_excess,verdict,n_filters
50325,primer-cosmos-east,6.428,0.03552,469.39,195.17,274.22,1416.0,593.3,822.7,0.0,0.242,0.1426,0.657,2.7,Support,7
50988,primer-cosmos-east,4.526,0.01574,1154.0,1144.69,9.31,3469.8,3441.9,27.9,0.0,0.324,0.0819,0.638,9.68,Weak,7
51514,primer-cosmos-east,4.437,0.01501,2843.01,1346.5,1496.51,8536.8,4047.3,4489.5,0.0,0.285,0.1719,0.279,7.18,Support,7
51855,primer-cosmos-east,4.651,0.0168,1118.82,1114.51,4.31,3364.3,3351.3,12.9,0.0,0.253,0.1155,0.718,3.91,Weak,7
52084,primer-cosmos-east,7.076,0.04403,268.77,273.69,-4.92,814.1,828.9,-14.8,0.0,0.232,0.4761,0.01,15.64,Null wins,7
52124,primer-cosmos-east,4.834,0.0184,199.09,199.27,-0.19,605.0,605.6,-0.6,0.0,0.275,0.2146,0.238,5.72,Neutral,7
54661,primer-cosmos-east,5.668,0.02668,42.3,42.31,-0.01,134.7,134.7,-0.0,0.0,0.003,0.5516,0.01,3.77,Neutral,7
55423,primer-cosmos-east,5.408,0.02394,134.78,141.51,-6.73,412.1,432.3,-20.2,0.0,0.349,0.1969,0.01,15.5,Null wins,7
344,primer-uds-south,7.135,0.04486,22.43,22.93,-0.5,75.1,76.6,-1.5,0.0,0.279,0.2494,0.01,9.61,Neutral,7
2480,primer-uds-south,4.684,0.01708,12.45,12.48,-0.03,45.1,45.2,-0.1,0.36,0.244,0.0881,0.01,3.87,Neutral,7
4620,primer-uds-south,5.746,0.02753,178.01,179.43,-1.42,541.8,546.1,-4.3,0.0,0.281,0.2893,0.01,6.75,Neutral,7
7830,primer-uds-south,5.545,0.02537,21.74,22.0,-0.26,73.0,73.8,-0.8,0.0,0.206,0.4741,0.01,5.26,Neutral,7
9104,primer-uds-south,6.093,0.03148,39.3,39.54,-0.24,125.7,126.4,-0.7,0.0,0.187,0.4554,0.01,5.81,Neutral,7
9791,primer-uds-south,5.028,0.02019,21.22,21.64,-0.42,71.5,72.7,-1.3,0.0,0.29,0.275,0.01,8.42,Neutral,7
11501,primer-uds-south,4.68,0.01705,588.84,592.72,-3.88,1774.3,1786.0,-11.7,0.0,0.195,0.4625,0.01,5.96,Null wins,7
14258,primer-uds-south,5.472,0.0246,54.22,54.43,-0.21,170.5,171.1,-0.6,0.0,0.07,0.6065,0.01,5.48,Neutral,7
17986,primer-uds-south,4.94,0.01937,887.5,887.12,0.38,2670.3,2669.2,1.1,0.0,0.274,0.2282,0.14,7.11,Neutral,7
21488,primer-uds-south,5.414,0.024,4473.11,4520.5,-47.39,13427.1,13569.3,-142.2,0.0,0.21,0.2318,0.01,12.38,Null wins,7
22358,primer-uds-south,4.676,0.01702,114.74,114.46,0.28,352.0,351.2,0.8,0.0,0.225,0.0787,0.968,2.64,Neutral,7
23107,primer-uds-south,4.953,0.01949,12.0,11.73,0.27,43.8,43.0,0.8,0.0,0.28,0.1,0.815,5.3,Neutral,7
