id,field,z_phot,n_bands,z_dist_pred,delta_G,chi2nu_null,chi2nu_geff,delta_chi2_nu,BIC_null,BIC_geff,delta_BIC,fA_null,fA_geff,alpha_null,alpha_geff,Cb_null,Cr_null,Cb_geff,Cr_geff,verdict
16563,primer-cosmos-east,5.0220,7,0.094440,0.188880,2777.3082,2777.3082,0.0000,5558.84,5558.84,0.00,1.0000,1.0000,-1.9110,-1.9110,0.0000,0.0000,0.0000,0.0000,Neutral
17813,primer-cosmos-east,5.2267,7,0.094450,0.188900,10.7228,10.7228,0.0000,25.67,25.67,0.00,1.0000,1.0000,-3.0000,-3.0000,1616.8445,0.0000,1955.9998,0.0000,Neutral
18893,primer-cosmos-east,4.8477,7,0.094429,0.188858,304.4388,304.4388,-0.0000,613.10,613.10,-0.00,0.9999,0.0529,-0.6423,-0.6423,0.0000,0.0000,0.0000,0.0000,Neutral
19462,primer-cosmos-east,4.3651,6,0.094386,0.188772,131.0406,131.0406,-0.0000,134.93,134.93,-0.00,1.0000,1.0000,-1.2666,-1.2668,47.1235,62.5869,0.0406,0.0583,Neutral
19946,primer-cosmos-east,5.9744,7,0.094473,0.188945,234.4315,234.4315,-0.0000,473.09,473.09,-0.00,1.0000,1.0000,-1.5895,-1.5895,0.0000,0.0000,0.0766,29.5317,Neutral
20187,primer-cosmos-east,6.6082,7,0.094483,0.188966,60.4378,60.4378,0.0000,125.10,125.10,0.00,1.0000,1.0000,-3.0000,-3.0000,57978.1587,539.0829,21528.2753,219.0833,Neutral
21943,primer-cosmos-east,4.7155,7,0.094420,0.188839,323.4674,323.4674,0.0000,651.16,651.16,0.00,1.0000,1.0000,-1.4417,-1.4416,1.2278,0.0329,0.0722,0.0001,Neutral
23571,primer-cosmos-east,4.7607,7,0.094423,0.188846,96.5321,96.5321,0.0000,197.29,197.29,0.00,0.0045,1.0000,-1.0164,-1.0164,0.0000,0.0000,439.8446,0.0000,Neutral
26971,primer-cosmos-east,6.4067,7,0.094480,0.188960,2045.7545,2045.7545,0.0000,4095.73,4095.73,0.00,1.0000,1.0000,-1.5368,-1.5367,0.2269,0.0328,2207.4776,0.0806,Neutral
27072,primer-cosmos-east,4.9571,6,0.094436,0.188872,239140.2415,239140.2687,-0.0272,239144.13,239144.16,-0.03,0.0329,0.1005,-0.1937,-0.1937,0.0000,0.7719,0.0000,0.9084,Neutral
27765,primer-cosmos-east,5.1726,7,0.094447,0.188895,160.3637,160.3637,-0.0000,324.95,324.95,-0.00,0.9999,0.9999,-2.7431,-2.7430,2278.5740,0.0000,2190.6443,0.0000,Neutral
31668,primer-cosmos-east,5.6077,7,0.094464,0.188927,4549.9238,4549.9238,0.0000,9104.07,9104.07,0.00,1.0000,1.0000,-1.7519,-1.7519,0.1718,0.4103,52.5151,0.5233,Neutral
