SDSS_NAME,RA,DEC,Z,LORD_TYPE,AUTOCLASS,PSFMAG_U,PSFMAG_G,PSFMAG_R,PSFMAG_I,PSFMAG_Z
131114.81+411245.1,197.81172071751664,41.21255013135779,0.8443437814712524,red1,QSO,22.828838,22.158989,22.338861,22.023636,20.987759
131201.56+233005.4,198.00653406788777,23.5015079769102,0.4337922930717468,red2,VI,24.145765,23.361692,22.588278,21.538406,20.94415
131215.77+200455.3,198.06574521601868,20.082029925318558,0.41,red2,UNK,21.669725,21.276901,20.726063,19.999355,19.622301
131425.42+534727.7,198.60593466804448,53.79103109990569,0.7503125071525574,red1,QSO,21.358105,20.756802,21.37167,20.298182,20.157734
131553.53+412108.9,198.97305079775538,41.35249122164701,0.40687164664268494,red2,QSO,23.50585,22.804476,21.780167,21.205742,20.638527
131641.39+520006.8,199.1724781943036,52.001889588016965,0.8490955233573914,red1,QSO,23.000732,22.233475,22.213903,21.65332,20.993715
131704.56+483755.1,199.26902636312752,48.63199815899503,0.43962326645851135,red2,QSO,24.679811,24.353094,24.572348,23.566172,19.720287
131755.06+525258.9,199.4794460767838,52.88302942855503,0.4756305515766144,red2,QSO,21.977474,21.451616,21.059633,20.348488,19.98244
131800.86+423451.1,199.50361733329044,42.58087065158058,0.7389422655105591,red1,QSO,22.418991,22.170588,22.182692,21.394148,20.588442
131802.54+490559.4,199.51061807061188,49.09985938412659,0.853069543838501,red1,QSO,23.108425,22.683523,22.193668,21.179432,20.077501
131914.35+332526.7,199.80979566453436,33.42411094813571,0.472,red2,UNK,22.19094,21.986515,20.960108,20.282187,19.784824
132015.37+455127.6,200.06405624154715,45.85767843747633,0.845,red1,QSO,22.378925,21.705378,21.391119,20.854416,20.380281
132021.27+325020.8,200.08864718773776,32.83912127294668,0.8027244210243225,red1,QSO,23.048801,22.43399,22.31295,21.753057,20.99363
132114.48+362804.9,200.31036060467642,36.468038222779654,0.781,red1,VI,23.089062,22.301031,22.222801,21.755102,21.187204
132146.76+331344.2,200.4448531274811,33.228967269264054,0.7967810034751892,red1,QSO,21.67519,21.03967,20.810486,20.144041,19.644596
132240.67+073404.8,200.6694883682419,7.568021504420202,0.729,red1,QSO,21.664888,21.034788,20.054789,19.569656,18.698599
132444.11-021746.5,201.18379238399143,-2.2962629701013615,0.3910911977291107,red2,VI,23.101929,22.33396,20.492958,19.663624,19.341906
132528.49+454406.2,201.36871047038113,45.7350816405932,0.6957027912139893,red1,QSO,23.869476,24.150438,22.24705,21.594822,20.822853
132533.59+324415.0,201.38998200891808,32.737518905709436,0.7794274091720581,red1,QSO,22.524157,22.06608,21.872677,21.57829,20.752867
132621.15+591905.2,201.5881512159965,59.31812367890975,0.7166542410850525,red1,QSO,21.845423,21.229868,20.78202,20.234518,19.71812
132629.30+012100.6,201.62209373874157,1.3501731193745394,0.304,red2,QSO,21.74998,21.402925,20.469263,19.957169,19.299358
132630.43+371218.4,201.6268171537135,37.205133943311004,0.4524420499801636,red2,QSO,22.071667,21.36711,20.756487,20.247467,19.73612
132653.28+521118.9,201.7220257920519,52.188593438539435,0.773,red1,GALAXY,21.517262,21.19474,20.8353,20.10329,19.823616
132700.87+485040.5,201.75363472775942,48.844597229682726,0.872151792049408,red1,QSO,23.73592,23.348818,22.835934,21.560616,20.341253
132902.66+540935.9,202.26112178156546,54.159989154186,0.8365495800971985,red1,QSO,21.99032,21.691275,21.770197,21.477644,20.6578
133059.76+511906.6,202.74901937599063,51.318523457314434,0.8086439371109009,red1,QSO,23.520988,22.855356,22.331865,21.779854,21.011042
133237.69+250106.5,203.15705944405792,25.018483409735154,0.797,red1,QSO,21.983374,21.433905,21.531157,21.133678,20.41848
133427.89+362536.7,203.6162461083801,36.42687826403598,0.8416410088539124,red1,QSO,22.62759,22.160734,21.823019,21.430307,20.733435
133504.28+452449.7,203.76784727749856,45.41382160772703,0.7043819427490234,red1,QSO,23.248344,22.807558,21.88184,21.235525,20.628748
133553.88-022636.1,203.974506,-2.443367,0.451224,red2,UNK,20.53822,20.43662,20.024796,19.467684,19.02333
