id,field,ra,dec,z_phot,F444W_mag,r_eff_50_phys,r_eff_arcsec,SB_F444W,logSigma_Mstar,logMstar_best,verdict
51855,primer-cosmos-east,150.1732889705725,2.4376768935478195,4.651201,32.02421985642596,94.25044203453028,0.01417516320131041,24.024734876698727,6.061433208552941,10.01,Support
52084,primer-cosmos-east,150.16342860843284,2.4391549528156817,7.07561,31.825226739820526,55.488546720226125,0.010458230982694746,23.165392569151194,6.74159329896246,10.23,Null wins
52124,primer-cosmos-east,150.20165715786538,2.439373074527328,4.833804,32.286233237658564,147.2682086334743,0.02255976380299939,25.29578066111199,5.4137819917894525,9.75,Neutral
54661,primer-cosmos-east,150.15107557650222,2.454351195411005,5.667634,33.40692670949085,121.9266954000634,0.02025707804679866,26.182685398008644,5.587802393592571,9.76,Weak
55423,primer-cosmos-east,150.16554471202377,2.459116257258063,5.408047,31.896859430104453,88.75092882326122,0.014384542210655285,23.929214336767163,5.593654186276302,9.49,Neutral
344,primer-uds-south,34.40956852094387,-5.322041059049387,7.1353946,33.07952528941462,95.11385632924762,0.018017514228692282,25.600874339651284,5.963512419564191,9.92,Neutral
2480,primer-uds-south,34.53201848616166,-5.315164693684382,4.684057,33.62571504690309,168.19655201304698,0.025380726826918443,26.891110002695882,4.798365822748696,9.25,Neutral
4620,primer-uds-south,34.46652983278183,-5.310307993570016,5.7462945,32.18684874804478,81.08071303865651,0.013571070095140128,24.092793898031445,6.192164881393868,10.01,Null wins
7830,primer-uds-south,34.24644704030055,-5.303397372461857,5.5453625,33.2946062750979,130.2652787861676,0.021392734590464143,26.188812472407147,5.420342653471543,9.65,Null wins
9104,primer-uds-south,34.27028437686357,-5.300719530590461,6.0930605,33.276163389713425,106.35932378958098,0.018383798526877552,25.841214330534694,5.806448864971033,9.86,Support
9791,primer-uds-south,34.51039646494913,-5.29937790018335,5.0277753,33.229073034958795,111.88804446545645,0.017473885051049475,25.683895088961673,5.062432633021441,9.16,Neutral
11501,primer-uds-south,34.42092682322444,-5.296163912928651,4.6799717,31.66149260754527,86.79155573125136,0.013091374652771978,23.489293548301863,6.253045053741901,10.13,Neutral
14258,primer-uds-south,34.31149088115438,-5.290993924304488,5.4718714,33.628991263051034,164.2733944448308,0.02678881746070284,27.01163365959365,5.198865537541769,9.63,Neutral
17986,primer-uds-south,34.366903086588984,-5.28418784780142,4.940114,31.129495614723,70.42326572571035,0.01090303767912313,22.560107861155554,6.424567678674528,10.12,Weak
21488,primer-uds-south,34.391941288626334,-5.276929475632448,5.413992,31.265711571114775,69.83585733604345,0.011325312350899473,22.778837196076402,6.34184306178533,10.03,Neutral
22358,primer-uds-south,34.304991747702566,-5.275421459133497,4.6764946,34.24802125307916,105.99213398821126,0.015981917000085936,26.509040289249477,5.429452727815243,9.48,Weak
